parentTconst,primaryTitle,seasonNumber,year,numSeasons,startYear,averageRating,numVotes,avgVotes,intYear,yearVotes,propVotes,visPropVotes
tt0103466,The Larry Sanders Show,2.0,1993.2,6.0,1992.0,7.861111111111111,2293,1959.6666666666667,1993,272075,0.8427823210511808,9.180317647288577
tt0103488,Martin,2.0,1993.25,5.0,1992.0,7.855555555555555,1525,1311.0,1993,272075,0.5605072130846274,7.486702966490839
tt0103491,Melrose Place,2.0,1993.1666666666667,7.0,1992.0,7.854838709677419,2689,2744.714285714286,1993,272075,0.9883304235964349,9.94148089369202
tt0103586,The Young Indiana Jones Chronicles,2.0,1993.0,2.0,1992.0,7.645454545454545,2758,1857.5,1993,272075,1.0136910778278048,10.06822267248696
tt0105932,"The Adventures of Brisco County, Jr.",1.0,1993.0,1.0,1993.0,7.933333333333333,4056,4056.0,1993,272075,1.49076541394836,12.209690470885658
tt0105941,Animaniacs,1.0,1993.0,5.0,1993.0,8.42,10068,2811.2,1993,272075,3.700450243499035,19.236554378315873
tt0105946,Babylon 5,1.0,1993.0,5.0,1993.0,7.360869565217392,24518,14582.2,1993,272075,9.011485803546815,30.019136902227576
tt0105950,Beavis and Butt-Head,1.0,1993.0,9.0,1993.0,7.033333333333334,596,3408.0,1993,272075,0.21905724524487732,4.680355170762977
tt0105958,Boy Meets World,1.0,1993.0,7.0,1993.0,7.9,5783,4989.857142857143,1993,272075,2.125516861159607,14.579152448477952
tt0105977,Cracker,1.0,1993.0,3.0,1993.0,8.214285714285714,2039,1981.3333333333333,1993,272075,0.7494257098226592,8.656937736998339
tt0105986,Diagnosis Murder,1.0,1993.0,8.0,1993.0,7.694736842105263,1617,1618.375,1993,272075,0.594321418726454,7.709224466354927
tt0106004,Frasier,1.0,1993.0,12.0,1993.0,8.133333333333333,22340,17405.454545454544,1993,272075,8.210971239547918,28.65479233836448
tt0106017,Grace Under Fire,1.0,1993.0,5.0,1993.0,7.763636363636365,1480,1499.2,1993,272075,0.5439676559772122,7.375416299960377
tt0106028,Homicide: Life on the Street,1.0,1993.0,7.0,1993.0,8.2,2001,2080.0,1993,272075,0.7354589727097308,8.575890465192117
tt0106057,Lois & Clark: The New Adventures of Superman,1.0,1993.0,4.0,1993.0,7.623809523809523,6535,5498.0,1993,272075,2.4019112377101903,15.49810065043517
tt0106064,Mighty Morphin Power Rangers,1.0,1993.0,3.0,1993.0,7.222950819672132,29410,23228.666666666668,1993,272075,10.8095194339796,32.87783361777293
tt0106079,NYPD Blue,1.0,1993.0,12.0,1993.0,8.063636363636364,3681,2085.0,1993,272075,1.3529357713865662,11.631576726250685
tt0106080,The Nanny,1.0,1993.0,6.0,1993.0,7.6863636363636365,7665,6404.166666666667,1993,272075,2.817237893963062,16.784629557911195
tt0106115,Rocko's Modern Life,1.0,1993.0,4.0,1993.0,7.971428571428571,1568,1182.75,1993,272075,0.5763116787650464,7.59151947086383
tt0106122,Saved by the Bell: The College Years,1.0,1993.0,1.0,1993.0,7.489473684210527,1443,1443.0,1993,272075,0.5303684645777819,7.282640074710419
