song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4xwPOyN9VgaTPehdsLiYul,0.511,0.142,1,-11.271,1,0.0308,0.891,0.0,0.108,0.222,131.633,182993,4
72N0CRIAqjETbhghrkCUW2,0.711,0.56,1,-4.098,1,0.0355,0.699,0.0,0.857,0.504,105.05,172751,4
5mFn4teAi2HMi7kRHliyFL,0.462,0.669,5,-4.19,1,0.0654,0.516,0.0,0.119,0.559,175.836,157202,3
0GSHXM7PZ75f6ZwpekBq83,0.596,0.835,0,-2.886,1,0.087,0.483,0.0,0.349,0.689,138.801,148331,4
37Xnka0c1qea5wagV91UIl,0.804,0.748,0,-2.314,1,0.0499,0.319,0.0,0.35,0.765,115.999,209717,4
4HTrlT5mmxPaZZKs4JSPeI,0.869,0.681,8,-1.796,1,0.0941,0.481,0.0,0.457,0.905,133.939,158383,4
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
0ituhG5DzBFsBdp6ECz030,0.832,0.833,10,-2.38,0,0.0975,0.621,0.0,0.645,0.853,135.049,154417,4
6nn9utEXmkfR5iBxerXtB5,0.667,0.772,2,-3.492,1,0.0514,0.308,0.0,0.606,0.794,137.376,159766,4
4pUCKHjJ4Ijewc37rRrvHn,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052,4
7wMAgaPiKzTNxpDWu2BPfk,0.768,0.934,8,-2.533,1,0.0453,0.22,1.73e-06,0.0854,0.916,160.108,160640,4
0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
37erXXnh4mlWE7mdO6EYOp,0.824,0.486,5,-5.579,0,0.0458,0.65,0.0,0.135,0.82,97.94,149995,4
2JVbZEpewmqNlSzmXJTx2E,0.777,0.812,2,-3.206,0,0.0598,0.0125,0.00233,0.0264,0.283,103.023,185105,4
5zweis4XXFug8uxTRnqH1W,0.757,0.684,4,-5.206,0,0.037,0.154,0.0,0.835,0.626,120.116,187444,4
2PIWldP9oUhb9iqe3EJh1e,0.687,0.411,3,-8.619,1,0.0338,0.866,0.0,0.0967,0.184,101.851,204000,4
43tDjfz9Inw7Soy0jzxowN,0.58,0.871,4,-4.052,1,0.209,0.59,0.0,0.564,0.911,117.622,153934,4
2srL4DYBekshpbprS6H0mO,0.555,0.439,7,-11.026,1,0.222,0.841,0.0,0.106,0.705,186.581,213192,4
4SBQSroThFQ98U29IwnJ2g,0.692,0.973,11,-1.154,1,0.202,0.516,0.0,0.071,0.568,100.292,165600,5
1DFD5Fotzgn6yYXkYsKiGs,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,4
4lvGHfDuzfv9uDTHMrRMiH,0.62,0.694,6,-4.254,0,0.0261,0.0302,0.0,0.117,0.631,97.48,211448,4
7MPQNyAX02uIEQCRsC4sgc,0.662,0.715,1,-6.593,1,0.153,0.123,1.41e-06,0.0916,0.28,165.879,254734,4
6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
0EyxB6uQOUC4ex2tbJuu6m,0.719,0.781,10,-5.131,1,0.0535,0.1,0.0,0.197,0.713,156.012,157308,4
7fa9MBXhVfQ8P8Df9OEbD8,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,235545,4
4iANxSIDT3kGekiquMSAgT,0.699,0.531,0,-5.714,1,0.0889,0.107,0.0,0.568,0.701,127.967,243021,4
4jGzR5Vri06Y5T9SxM7m5P,0.697,0.844,9,-3.076,1,0.0575,0.285,0.0,0.753,0.665,139.993,231680,4
6FWMkcaZyKS8I60zR6ro7h,0.848,0.896,4,-8.107,0,0.213,0.793,0.0418,0.1,0.727,150.064,226847,4
0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4
2odzriVVZBwYOiYJEj30tm,0.886,0.583,8,-6.639,0,0.149,0.194,0.0,0.0922,0.883,103.006,279757,4
371Up3WP7OqJNFPf0BiyUe,0.694,0.869,3,-5.26,0,0.0857,0.611,0.0,0.535,0.786,121.996,234961,4
3Vc8vnid3noqupe9PvUKxP,0.832,0.484,10,-4.06,1,0.189,0.665,1.02e-05,0.0822,0.83,142.111,257646,4
4u7EnebtmKWzUH433cf5Qv,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,354320,4
0BzRlHCiks2DGlfsEKy54f,0.653,0.238,3,-14.374,0,0.0549,0.105,0.000501,0.111,0.236,122.705,283787,4
5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
2BF6mQdYAkLmeRQmX7YyPy,0.375,0.716,0,-7.51,1,0.685,0.0817,0.0,0.1,0.179,71.18,212436,3
1qDZnViQgUItsMpWLVwfGb,0.645,0.505,10,-6.432,1,0.0279,0.45,0.0,0.0938,0.499,94.025,184280,4
6zdrUt0j8guhZfcSF6X2Sb,0.826,0.791,0,-4.605,0,0.0806,0.193,8.6e-05,0.0533,0.344,150.026,175061,4
2PADJK4rhdklqFLQFa5oMX,0.673,0.841,4,-4.968,1,0.0591,0.599,0.0,0.723,0.663,162.961,210387,4
4y3OI86AEP6PQoDE6olYhO,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040,4
5cEZdqWwTQbQ5mfiZJpzps,0.545,0.498,11,-6.0,0,0.342,0.0835,0.0,0.128,0.548,87.17,212651,4
1F46LaY3gYpvL2r534FeWs,0.79,0.917,4,-1.754,1,0.0679,0.151,0.0,0.197,0.754,136.051,187183,4
6nc3d5wRTTzkZo29kZRr5r,0.535,0.573,0,-6.191,0,0.166,0.17,0.0,0.18,0.208,116.754,253333,4
3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4
5KawlOMHjWeUjQtnuRs22c,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4
36UiRg8wGUOFC3E0gdyvFA,0.574,0.714,0,-4.517,0,0.244,0.0864,0.0,0.116,0.434,83.363,164560,4
4aC48Yffpsw01b7sBJxase,0.935,0.35,3,-3.423,1,0.444,0.103,0.315,0.0784,0.582,130.126,179077,4
4uD7ypL7pDmOiMiVX6TCCa,0.823,0.474,2,-9.29,0,0.0503,0.0202,0.0,0.201,0.833,95.05,207158,4
2lm3Ric7MeBk8hLfsiVokr,0.484,0.647,2,-6.462,1,0.0359,0.862,0.0,0.864,0.692,148.052,196831,4
1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4
6MWtB6iiXyIwun0YzU6DFP,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
09Q3su74ehVmR87tA3msB9,0.823,0.836,0,-2.566,1,0.0629,0.279,0.0,0.776,0.682,120.021,197767,4
1EQ8sBQ7Abv9DvNBzhXAcv,0.485,0.386,2,-9.189,1,0.0388,0.837,0.0,0.207,0.354,91.615,343813,4
6fxVffaTuwjgEk5h9QyRjy,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
2aRdz1goHRuJ2FkDw3vpVX,0.634,0.498,6,-10.242,0,0.103,0.375,0.0,0.115,0.299,109.817,264036,4
50YbE5MrvSu8Fz6A2dgTZ8,0.605,0.796,1,-5.195,1,0.164,0.735,0.0,0.842,0.51,126.099,199363,4
4MsUsFfWseB9M2plGJyuIw,0.614,0.839,0,-4.143,1,0.0702,0.0291,0.0,0.112,0.657,182.123,193040,4
2dmGj5Nf01FcR6N4HPzAbL,0.509,0.811,6,-5.604,0,0.127,0.0437,0.0,0.33,0.716,167.922,181847,4
1YUWhlQjFv7MQpcbb77zTL,0.727,0.585,4,-10.229,0,0.176,0.172,0.0,0.221,0.564,151.87,430296,4
0PaAB17axL9hn88mHiw8g0,0.741,0.794,3,-2.555,1,0.0402,0.591,0.0,0.236,0.765,157.987,196613,4
6WkJ2OK163XXS2oARUC9JM,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053,4
05CwHjIk71RXVU40boRMnR,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653,4
2cbMXc0P5s271VwZOUk1Gb,0.634,0.487,0,-4.835,1,0.028,0.768,0.000349,0.911,0.322,135.874,157460,4
5kuUOpHZlZjL8b7HXkxRsm,0.737,0.564,7,-8.293,1,0.316,0.301,0.0,0.0985,0.684,140.075,185311,4
6YNCE5qtrTa7YcnAOAEsDQ,0.39,0.355,5,-13.509,1,0.0345,0.0563,0.0,0.735,0.262,165.961,218267,4
2vRBYKWOyHtFMtiK60qRz7,0.676,0.374,10,-8.201,1,0.0266,0.877,0.000132,0.165,0.2,99.825,205468,4
6HaTYIUKd8SzdvGOfutBRD,0.613,0.641,8,-9.841,1,0.188,0.703,0.0,0.183,0.803,93.805,471768,4
7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,4
4tNXntkAzQ5A2dfYRYGIIQ,0.505,0.428,5,-5.604,1,0.221,0.489,0.0,0.0977,0.618,175.813,157493,4
1G60NjxeOS7veR1EXuKPaW,0.804,0.637,11,-3.187,1,0.0542,0.47,0.0,0.969,0.732,113.979,175205,4
4rmLkydzgiALPSBQs3veCR,0.762,0.795,10,-5.977,0,0.274,0.395,2.03e-06,0.1,0.737,96.04,258961,4
46bW6erFBPbpGUTzxu5269,0.337,0.574,2,-8.141,1,0.038,0.776,0.0,0.962,0.473,72.112,237036,4
5Vw6ZLNB6Ko7VZM6vmNIbr,0.551,0.808,10,-3.367,1,0.0494,0.543,0.0,0.742,0.505,126.821,164956,4
0R4dwzW253KTxchGryT1H6,0.652,0.4,11,-11.284,0,0.447,0.339,0.0,0.105,0.556,88.755,239999,4
69KvEkL28yjwoOtApmB6CL,0.655,0.726,1,-6.687,1,0.313,0.233,8.49e-06,0.0846,0.381,149.919,169770,4
2Ab1wPTEqulaCGoBak1gUo,0.668,0.526,5,-6.174,0,0.0352,0.0131,0.0,0.147,0.42,135.032,180304,4
5qjMyKkmosPBws5cImS9Zz,0.711,0.792,11,-3.823,1,0.0542,0.449,0.0,0.44,0.845,124.868,140443,4
2PMLdLt5QeOuOgxfAvx1in,0.517,0.875,0,-3.997,1,0.106,0.426,0.0,0.209,0.672,163.958,187378,4
4xc6RrWzEOdprPqYn9Cyen,0.834,0.751,11,-0.787,1,0.117,0.449,0.0,0.112,0.697,129.935,161444,4
2AuQcbltEHog9kOv9Ms3W3,0.705,0.496,11,-6.197,0,0.0636,0.486,0.0,0.168,0.487,79.84,178208,4
5KNi9XFap48ry4puG7rvqv,0.486,0.734,1,-6.356,0,0.0423,0.658,0.0,0.965,0.639,145.842,203895,4
43zdsphuZLzwA9k4DJhU0I,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
4ZLzoOkj0MPWrTLvooIuaa,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,179080,4
5qqabIl2vWzo9ApSC317sa,0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302,258773,4
